-75.27362,39.8763,0.2869,
432,39963 ,25227 ,Robbery No Firearm,4189
433,16341 ,29321 ,Burglary Residential,4198
434,49475 ,52602 ,Burglary Residential,4209
435,13512 ,14519 ,Homicide - Criminal,4211
436,29153 ,58883 ,Burglary Residential,4219
437,34713 ,66268 ,Aggravated Assault No Firearm,4229
438,56687 ,42348 ,Motor Vehicle Theft,4265
439,40261 ,24012 ,Robbery Firearm,4270
440,26862 ,21007 ,Motor Vehicle Theft,4281
441,45329 ,54003 ,Burglary Non-Residential,4299
442,10782 ,28852 ,Motor Vehicle Theft,4312
443,87133 ,84527 ,Aggravated Assault No Firearm,4344
444,63938 ,46362 ,Burglary Non-Residential,4345
445,47668 ,45691 ,Motor Vehicle Theft,4370
446,61765 ,60977 ,Motor Vehicle Theft,4382
447,17082 ,17303 ,Burglary Residential,4384
448,62366 ,59571 ,Burglary Residential,4406
449,39406 ,38511 ,Aggravated Assault No Firearm,4443
450,54907 ,53219 ,Theft from Vehicle,4452
451,29039 ,31060 ,Burglary Residential,4454
452,68060 ,47945 ,Aggravated Assault Firearm,4478
453,42763 ,40820 ,Burglary Non-Residential,4481
454,67379 ,50759 ,Robbery No Firearm,4525
455,40891 ,60905 ,Aggravated Assault No Firearm,4543
456,52532 ,52420 ,Motor Vehicle Theft,4692
457,83292 ,54316 ,Theft from Vehicle,4695
458,32043 ,24518 ,Theft from Vehicle,4735
459,41986 ,38266 ,Motor Vehicle Theft,4739
460,57406 ,52530 ,Motor Vehicle Theft,4760
461,30397 ,40231 ,Robbery No Firearm,4780
462,38442 ,54760 ,Burglary Residential,4803
463,43863 ,48502 ,Theft from Vehicle,4810
464,23689 ,31438 ,Theft from Vehicle,4824
465,44472 ,31157 ,Burglary Non-Residential,4841
466,67715 ,56974 ,Theft from Vehicle,4847
467,37867 ,20062 ,Motor Vehicle Theft,4868
468,15846 ,32066 ,Theft from Vehicle,4871
469,17226 ,23652 ,Burglary Residential,4875
470,54946 ,50999 ,Aggravated Assault No Firearm,4879
471,31215 ,62759 ,Burglary Residential,4881
472,29677 ,21657 ,Burglary Residential,4888
473,41495 ,14280 ,Burglary Non-Residential,4894
474,92548 ,66997 ,Theft from Vehicle,4894
475,33568 ,36540 ,Aggravated Assault No Firearm,4895
476,76150 ,53658 ,Theft from Vehicle,4895
477,38708 ,27937 ,Theft from Vehicle,4916
478,104520 ,70977 ,Aggravated Assault No Firearm,4918
479,31270 ,38031 ,Burglary Residential,4930
480,55464 ,51577 ,Burglary Residential,4964
481,67665 ,66147 ,Burglary Residential,4986
482,31766 ,62313 ,Burglary Residential,5011
483,30683 ,16564 ,Theft from Vehicle,5012
484,85156 ,54440 ,Burglary Residential,5023
485,32775 ,57670 ,Theft from Vehicle,5037
486,54932 ,44199 ,Burglary Non-Residential,5038
487,29516 ,18512 ,Burglary Non-Residential,5047
488,49360 ,34442 ,Burglary Residential,5051
489,18351 ,54554 ,Burglary Residential,5058
490,55674 ,59706 ,Theft from Vehicle,5061
491,29520 ,20045 ,Theft from Vehicle,5065
492,76727 ,65497 ,Burglary Residential,5072
493,16304 ,32510 ,Burglary Residential,5074
494,23198 ,25153 ,Aggravated Assault Firearm,5095
495,46760 ,28730 ,Theft from Vehicle,5104
496,35911 ,24038 ,Theft from Vehicle,5134
497,60695 ,58178 ,Theft from Vehicle,5136
498,72122 ,56147 ,Burglary Residential,5143
499,48639 ,36747 ,Burglary Residential,5156
500,64500 ,49786 ,Robbery Firearm,5159
501,36641 ,38665 ,Aggravated Assault No Firearm,5206
502,40035 ,45553 ,Theft from Vehicle,5227
503,40501 ,18924 ,Theft from Vehicle,5266
504,70943 ,60388 ,Theft from Vehicle,5267
505,51580 ,51665 ,Burglary Residential,5288
506,51580 ,51665 ,Robbery No Firearm,5288
507,16466 ,16954 ,Aggravated Assault Firearm,5296
508,43808 ,51655 ,Robbery Firearm,5299
509,77282 ,53824 ,Burglary Residential,5322
510,45498 ,31515 ,Theft from Vehicle,5330
511,22576 ,64283 ,Theft from Vehicle,5346
512,27985 ,61611 ,Burglary Residential,5348
513,20794 ,24284 ,Robbery No Firearm,5370
514,17448 ,16155 ,Motor Vehicle Theft,5376
515,42957 ,44229 ,Burglary Residential,5377
516,50534 ,46993 ,Burglary Non-Residential,5382
517,60650 ,36494 ,Motor Vehicle Theft,5383
518,86472 ,56827 ,Burglary Residential,5387
519,39361 ,39223 ,Burglary Residential,5395
520,68630 ,59732 ,Burglary Residential,5396
521,60627 ,42817 ,Burglary Residential,5401
522,40192 ,13497 ,Theft from Vehicle,5404
523,56713 ,40529 ,Burglary Residential,5412
524,31399 ,34257 ,Robbery No Firearm,5416
525,41638 ,22652 ,Theft from Vehicle,5431
526,45667 ,31944 ,Burglary Residential,5437
527,30771 ,17876 ,Motor Vehicle Theft,5438
528,65557 ,48248 ,Motor Vehicle Theft,5448
529,66244 ,64960 ,Robbery No Firearm,5450
530,10519 ,28865 ,Robbery No Firearm,5469
531,45187 ,55311 ,Aggravated Assault No Firearm,5474
532,34840 ,42448 ,Motor Vehicle Theft,5476
533,35944 ,23510 ,Robbery Firearm,5477
534,42875 ,23183 ,Theft from Vehicle,5484
535,65600 ,55474 ,Burglary Residential,5485
536,25171 ,66226 ,Burglary Residential,5486
537,76359 ,51689 ,Robbery Firearm,5495
538,41712 ,22807 ,Theft from Vehicle,5498
539,41862 ,45509 ,Burglary Residential,5503
540,75377 ,59026 ,Aggravated Assault No Firearm,5509
541,48458 ,49420 ,Robbery Firearm,5514
542,42325 ,33466 ,Aggravated Assault Firearm,5523
543,16779 ,22105 ,Motor Vehicle Theft,5547
544,49507 ,53964 ,Robbery Firearm,5549
545,31149 ,26304 ,Robbery No Firearm,5558
546,49838 ,43592 ,Motor Vehicle Theft,5576
547,62993 ,47443 ,Theft from Vehicle,5589
548,19845 ,30799 ,Aggravated Assault Firearm,5610
549,55392 ,52740 ,Burglary Residential,5621
550,24979 ,28179 ,Robbery No Firearm,5635
